Artist,Låt,Resultat
The Liminanas&Anton Newcombe,Istanbul is Sleepy,16
Rolling Blackouts Coaster Fever,Hope Downs,1
HOLY,Heard Her,0
Eels,Bone Dry,18
"Kevin Morby, Waxahatchee",Farewell Transmission,13
Bodega,How does this happen,13
The James Hunter Six,I Got Eyes,13
Yo La Tengo,For You Too,7
Wolfmother,Happy Wolfmothers Day,3
Mike Krol,I wonder,9
Sharon Van Etten,Comeback Kid,7
Janelle Monae,Make Me Feel,12
Warmduscher,Big Wilma,19
BAMBARA,Dark Circles,25
David Byrne,Everybody´s Coming To My House,4
Tess Parks&Anton Newcombe,Grunewald,13
Slaves,Artificial Intelligence,0
Nothing,Blue Line Baby,18
Saint Phnx,Death of Me,14
"Gerard Way, Lydia Night",Dasher,13
Squid,Houseplants,16
Bilderbuch,Frisbeee,2
Suede,Flytipping,5
Deth Cab for Cutie,I Dreamt We Spoke Again,13
"The Shuffles, Josephine Spector",Make Me High,18
Idles,Never Fight A Man With A Perm,0
To Kill A King,Nulliam,0
Jack White,Over And Over And Over,16
Canshaker Pi,Put a Record Out,12
Allan Rayman,Rose,10
Mailka,Share Of Your Life,8
The Interrupters,Shes Kerosene,8
Nine Inch Nails,Shit Mirror,18
"Luke Elliot, Sivert Höyem",Somebodys Man,17
A Perfect Circle,TalkTalk,15
Shame,Tasteless,0
Eels,The Deconstruction,0
"Kitty, Daisy & Lewis",The Game Is On,0
Daughters,The Reason They Hate Me,0
Helena Deland,There Are a Thousand,0
Parquet Courts,Total Football,0
Exitmusic,Trumpets Fade,0
Ezra Furman,Unbelievers,0
"Cookin´On 3 Burners, Kaiit",Warning,0
Greta Van Fleet,When The Curtain Falls,0
Parquet Courts,Wide Awake,0
The Lovely Eggs,Wiggy Giggy,0
Eels,You are the shining light,0
Tropical Fuck storm,You Let My Tyres Down,0
